a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
-0.00,0.00,1.00,0.06,0.04,-0.05,8788,22.29
-0.00,0.00,1.00,0.06,0.04,-0.04,8793,22.29
0.00,-0.00,1.00,0.09,0.01,-0.04,8797,22.32
0.00,-0.00,1.00,0.09,0.03,-0.04,8800,22.32
-0.00,-0.00,1.00,0.03,0.04,-0.02,8804,22.32
-0.00,0.00,1.00,0.00,0.03,-0.01,8808,22.28
-0.00,0.00,1.00,-0.01,-0.00,0.01,8811,22.28
-0.00,0.00,1.00,0.02,0.01,-0.01,8815,22.28
0.00,0.00,1.00,0.05,0.06,-0.02,8819,22.32
-0.00,0.00,1.00,0.08,0.11,-0.07,8822,22.32
-0.00,0.00,1.00,0.08,0.11,-0.05,8826,22.32
-0.00,0.00,1.00,0.06,0.04,0.02,8830,22.31
0.00,0.00,1.00,0.05,-0.02,0.07,8834,22.31
0.00,-0.00,1.00,0.05,-0.11,0.10,8838,22.31
0.00,-0.00,1.00,0.06,-0.09,0.07,8842,22.34
-0.00,-0.00,1.00,0.08,0.03,0.01,8845,22.34
-0.00,-0.00,1.00,0.08,0.09,-0.01,8849,22.34
-0.00,-0.00,1.00,0.03,0.17,0.01,8853,22.31
0.00,-0.00,1.00,0.02,0.18,0.01,8856,22.31
-0.00,-0.00,1.00,-0.03,0.17,0.01,8860,22.31
-0.00,-0.00,1.00,-0.04,0.17,0.01,8864,22.33
-0.00,0.00,1.00,-0.07,0.18,-0.01,8867,22.33
-0.00,0.00,1.00,-0.09,0.18,-0.02,8871,22.33
-0.00,0.00,1.00,-0.09,0.15,-0.04,8876,22.29
-0.00,0.00,1.00,-0.07,0.14,-0.04,8879,22.29
-0.00,-0.00,1.00,-0.04,0.11,-0.01,8883,22.29
-0.00,-0.00,1.00,-0.01,0.09,0.01,8887,22.32
-0.00,-0.00,1.00,0.00,0.12,0.05,8890,22.32
-0.00,-0.00,1.00,0.00,0.14,0.05,8894,22.32
-0.00,-0.00,1.00,0.03,0.15,0.04,8898,22.32
0.00,-0.00,1.00,0.05,0.14,0.02,8901,22.32
0.00,0.00,1.00,0.05,0.14,0.04,8905,22.32
0.00,0.00,1.00,0.06,0.15,0.05,8909,22.31
-0.00,0.00,1.00,0.05,0.18,0.01,8912,22.31
-0.00,0.00,1.00,0.02,0.18,-0.05,8916,22.31
-0.00,0.00,1.00,-0.03,0.15,-0.13,8921,22.32
-0.00,-0.00,1.00,-0.03,0.14,-0.13,8924,22.32
0.00,-0.00,1.00,-0.01,0.12,-0.08,8928,22.32
-0.00,-0.00,1.00,-0.03,0.12,-0.07,8932,22.24
-0.00,-0.00,1.00,-0.06,0.15,-0.05,8935,22.24
-0.00,0.00,1.00,-0.09,0.15,-0.05,8939,22.24
-0.00,0.00,1.00,-0.09,0.15,-0.04,8943,22.26
-0.00,0.00,1.00,-0.09,0.15,-0.04,8946,22.26
-0.00,0.00,1.00,-0.06,0.15,-0.02,8950,22.26
-0.00,-0.00,1.00,-0.03,0.17,-0.01,8954,22.29
-0.00,-0.00,1.00,0.05,0.26,0.05,8957,22.29
-0.00,-0.00,1.00,0.06,0.32,0.10,8962,22.32
-0.00,0.00,1.00,0.05,0.37,0.13,8966,22.32
-0.00,0.00,1.00,0.02,0.35,0.13,8969,22.32
-0.00,0.00,1.00,0.00,0.29,0.07,8973,22.26
-0.00,0.00,1.00,0.00,0.23,0.04,8977,22.26
-0.00,0.00,1.00,0.03,0.14,0.02,8980,22.26
-0.00,-0.00,1.00,0.03,0.12,0.04,8984,22.30
0.00,-0.00,1.00,0.02,0.15,0.04,8988,22.30
0.00,0.00,1.00,0.03,0.15,0.04,8991,22.30
0.00,0.00,1.00,0.05,0.12,0.04,8995,22.26
0.00,0.00,1.00,0.08,-0.00,0.01,8999,22.26
0.00,0.00,1.00,0.06,-0.05,0.01,9003,22.26
0.00,0.00,1.00,0.03,-0.09,-0.01,9007,22.25
0.00,0.00,1.00,0.03,-0.09,-0.01,9011,22.25
-0.00,0.00,1.00,0.03,-0.11,0.02,9014,22.25
-0.00,0.00,1.00,0.00,-0.11,0.04,9018,22.27
-0.00,0.00,1.00,0.00,-0.09,0.07,9022,22.27
-0.00,0.00,1.00,0.02,-0.06,0.07,9025,22.27
-0.00,0.00,1.00,0.05,-0.09,0.05,9029,22.31
-0.00,0.00,1.00,0.06,-0.14,0.05,9033,22.31
-0.00,0.00,1.00,0.11,-0.21,0.05,9036,22.31
0.00,0.00,1.00,0.13,-0.25,0.05,9040,22.30
-0.00,-0.00,1.00,0.06,-0.23,0.05,9044,22.30
-0.00,-0.00,1.00,0.00,-0.17,0.05,9048,22.30
-0.00,-0.00,1.00,-0.06,-0.05,0.05,9052,22.30
-0.00,0.00,1.00,-0.07,-0.00,0.05,9056,22.30
-0.00,0.00,1.00,-0.06,0.04,0.01,9059,22.30
-0.00,0.00,1.00,-0.04,0.06,-0.01,9063,22.29
-0.00,0.00,1.00,-0.01,0.03,-0.04,9066,22.29
-0.00,0.00,1.00,-0.03,0.01,-0.02,9070,22.29
-0.00,0.00,1.00,-0.06,0.04,-0.01,9074,22.27
-0.00,0.00,1.00,-0.06,0.11,-0.02,9077,22.27
-0.00,0.00,1.00,-0.06,0.23,-0.07,9081,22.27
-0.00,0.00,1.00,-0.04,0.29,-0.07,9085,22.28
-0.00,0.00,1.00,0.00,0.33,-0.04,9089,22.28
-0.00,0.00,1.00,0.02,0.32,-0.04,9093,22.28
-0.00,0.00,1.00,0.05,0.26,-0.01,9097,22.30
0.00,-0.00,1.00,0.05,0.21,-0.01,9100,22.30
0.00,0.00,1.00,0.02,0.12,-0.01,9104,22.30
0.00,0.00,1.00,0.00,0.11,0.01,9108,22.28
0.00,-0.00,1.00,0.03,0.11,0.02,9111,22.28
0.00,-0.00,1.00,0.06,0.11,0.02,9115,22.28
0.00,0.00,1.00,0.11,0.11,0.01,9119,22.29
0.00,0.00,1.00,0.11,0.08,-0.01,9122,22.29
0.00,0.00,1.00,0.08,-0.05,0.01,9126,22.29
-0.00,0.00,1.00,0.06,-0.11,0.04,9131,22.30
-0.00,0.00,1.00,0.06,-0.18,0.04,9134,22.30
-0.00,0.00,1.00,0.06,-0.18,0.04,9138,22.30
-0.00,0.00,1.00,0.08,-0.17,0.02,9142,22.27
0.00,0.00,1.00,0.13,-0.15,0.01,9145,22.27
-0.00,-0.00,1.00,0.14,-0.15,-0.01,9149,22.27
0.00,0.00,1.00,0.11,-0.14,-0.02,9153,22.27
0.00,0.00,1.00,0.09,-0.11,0.01,9156,22.27
0.00,0.00,1.00,0.03,-0.06,0.08,9160,22.27
-0.00,0.00,1.00,0.02,-0.05,0.10,9164,22.31
-0.00,0.00,1.00,-0.03,-0.09,0.05,9167,22.31
-0.00,0.00,1.00,-0.01,-0.15,0.01,9171,22.31
0.00,-0.00,1.00,0.03,-0.23,-0.05,9176,22.28
-0.00,-0.00,1.00,0.06,-0.23,-0.05,9179,22.28
-0.00,-0.00,1.00,0.06,-0.17,-0.02,9183,22.28
-0.00,-0.00,1.00,0.06,-0.15,0.01,9187,22.28
-0.00,-0.00,1.00,0.06,-0.15,0.04,9190,22.28
0.00,-0.00,1.00,0.05,-0.15,0.04,9194,22.28
-0.00,0.00,1.00,0.05,-0.08,0.05,9198,22.25
-0.00,0.00,1.00,0.06,-0.05,0.07,9201,22.25
-0.00,0.00,1.00,0.11,-0.05,0.08,9205,22.25
0.00,-0.00,1.00,0.13,-0.05,0.08,9209,22.26
0.00,-0.00,1.00,0.09,0.01,0.07,9212,22.26
0.00,-0.00,1.00,0.05,0.04,0.07,9217,22.26
