a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
-0.00,-0.00,1.00,-0.03,0.05,0.08,8433,22.02
-0.00,-0.00,1.00,-0.03,0.09,0.08,8436,22.02
0.00,-0.00,1.00,-0.03,0.09,0.09,8440,22.08
0.00,-0.00,1.00,-0.03,0.06,0.08,8444,22.08
0.00,-0.00,1.00,-0.01,0.06,0.05,8448,22.08
0.00,-0.00,1.00,-0.01,0.05,-0.05,8452,22.09
0.00,-0.00,1.00,-0.04,0.03,-0.06,8456,22.09
0.00,-0.00,1.00,-0.15,-0.01,-0.05,8459,22.09
0.00,0.00,1.00,-0.18,-0.03,-0.02,8463,22.11
-0.00,0.00,1.00,-0.13,-0.04,-0.00,8467,22.11
-0.00,0.00,1.00,-0.09,-0.04,-0.00,8470,22.11
-0.00,-0.00,1.00,-0.01,-0.01,0.02,8474,22.07
-0.00,-0.00,1.00,0.02,0.02,0.03,8478,22.07
-0.00,0.00,1.00,0.08,0.06,0.06,8481,22.07
-0.00,0.00,1.00,0.10,0.06,0.08,8485,22.04
-0.00,0.00,1.00,0.08,0.02,0.08,8489,22.04
-0.00,0.00,1.00,0.07,0.00,0.05,8493,22.04
-0.00,0.00,1.00,0.02,-0.01,-0.03,8497,22.07
-0.00,0.00,1.00,-0.01,-0.01,-0.06,8501,22.07
-0.00,0.00,1.00,-0.06,0.00,-0.06,8504,22.07
-0.00,0.00,1.00,-0.06,0.00,-0.03,8508,22.03
-0.00,0.00,1.00,-0.04,0.00,0.02,8512,22.03
-0.00,0.00,1.00,-0.01,0.00,0.02,8515,22.03
-0.00,0.00,1.00,0.02,0.02,0.02,8519,22.07
-0.00,0.00,1.00,0.02,0.03,-0.00,8523,22.07
-0.00,0.00,1.00,0.02,0.02,-0.00,8526,22.07
-0.00,0.00,1.00,-0.04,-0.01,-0.00,8530,22.06
-0.00,0.00,1.00,-0.07,-0.03,-0.00,8534,22.06
0.00,-0.00,1.00,-0.10,-0.04,-0.00,8538,22.06
0.00,0.00,1.00,-0.12,-0.04,-0.00,8542,22.10
0.00,-0.00,1.00,-0.12,-0.01,-0.02,8545,22.10
0.00,-0.00,1.00,-0.10,0.00,-0.02,8549,22.10
0.00,-0.00,1.00,-0.09,0.02,0.03,8553,22.08
0.00,0.00,1.00,-0.09,0.02,0.08,8556,22.08
0.00,0.00,1.00,-0.10,0.02,0.11,8560,22.08
0.00,-0.00,1.00,-0.13,0.05,0.09,8564,22.07
0.00,-0.00,1.00,-0.12,0.09,0.05,8567,22.07
0.00,-0.00,1.00,-0.09,0.09,0.02,8571,22.07
0.00,-0.00,1.00,-0.03,0.06,-0.02,8576,22.05
0.00,-0.00,1.00,0.00,0.05,-0.00,8579,22.05
0.00,-0.00,1.00,0.05,-0.01,0.05,8583,22.05
0.00,-0.00,1.00,0.07,-0.03,0.06,8587,22.05
-0.00,0.00,1.00,0.08,0.00,0.05,8590,22.05
-0.00,0.00,1.00,0.08,0.03,0.03,8594,22.05
-0.00,-0.00,1.00,0.03,0.03,0.02,8598,22.06
-0.00,-0.00,1.00,0.02,0.03,-0.00,8601,22.06
0.00,-0.00,1.00,-0.01,0.03,-0.03,8605,22.06
0.00,-0.00,1.00,-0.01,0.05,-0.02,8609,22.06
0.00,-0.00,1.00,-0.03,0.06,-0.00,8612,22.06
-0.00,-0.00,1.00,-0.01,0.05,0.02,8616,22.06
-0.00,0.00,1.00,0.00,0.02,0.05,8620,22.04
-0.00,0.00,1.00,0.02,0.00,0.06,8624,22.04
0.00,0.00,1.00,0.05,-0.01,0.08,8628,22.04
0.00,-0.00,1.00,0.07,-0.03,0.06,8631,22.00
0.00,-0.00,1.00,0.07,-0.01,0.03,8635,22.00
0.00,0.00,1.00,0.05,-0.03,-0.05,8639,22.00
-0.00,0.00,1.00,0.03,-0.03,-0.06,8642,22.04
-0.00,0.00,1.00,0.00,-0.04,-0.08,8646,22.04
-0.00,0.00,1.00,-0.03,-0.04,-0.06,8650,22.04
-0.00,-0.00,1.00,-0.07,-0.03,-0.06,8653,22.07
