a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
-0.00,0.00,1.00,0.05,-0.00,-0.02,8793,22.81
-0.00,0.00,1.00,0.05,-0.00,-0.03,8796,22.83
-0.00,0.00,1.00,0.03,-0.00,-0.02,8800,22.83
-0.00,0.00,1.00,0.00,-0.00,-0.00,8803,22.83
-0.00,0.00,1.00,-0.03,0.01,-0.02,8807,22.81
-0.00,0.00,1.00,-0.06,0.03,-0.02,8811,22.81
0.00,0.00,1.00,-0.06,0.06,-0.03,8814,22.81
0.00,-0.00,1.00,-0.04,0.04,-0.03,8818,22.81
0.00,-0.00,1.00,0.02,-0.05,-0.02,8822,22.81
0.00,-0.00,1.00,0.03,-0.10,0.01,8825,22.81
0.00,-0.00,1.00,0.03,-0.13,0.05,8829,22.83
0.00,-0.00,1.00,0.03,-0.10,0.05,8834,22.83
0.00,-0.00,1.00,0.03,-0.00,0.01,8837,22.83
0.00,-0.00,1.00,0.03,0.04,0.01,8841,22.80
0.00,-0.00,1.00,0.06,0.04,-0.00,8845,22.80
-0.00,-0.00,1.00,0.06,0.03,-0.02,8848,22.80
-0.00,-0.00,1.00,0.03,0.01,-0.02,8852,22.81
0.00,-0.00,1.00,0.00,0.01,-0.02,8856,22.81
0.00,-0.00,1.00,-0.04,0.03,-0.03,8859,22.81
0.00,-0.00,1.00,-0.04,0.03,-0.05,8863,22.85
-0.00,-0.00,1.00,-0.04,0.01,-0.09,8867,22.85
-0.00,-0.00,1.00,-0.03,-0.02,-0.11,8870,22.85
0.00,-0.00,1.00,-0.01,-0.07,-0.11,8875,22.80
-0.00,-0.00,1.00,-0.01,-0.07,-0.06,8879,22.80
-0.00,-0.00,1.00,-0.03,-0.05,0.03,8882,22.80
-0.00,-0.00,1.00,-0.03,-0.03,0.08,8886,22.84
-0.00,-0.00,1.00,-0.03,-0.05,0.14,8890,22.84
0.00,-0.00,1.00,-0.03,-0.05,0.12,8893,22.84
0.00,-0.00,1.00,-0.01,-0.05,0.09,8897,22.79
0.00,-0.00,1.00,0.00,-0.02,0.03,8901,22.79
0.00,0.00,1.00,0.00,-0.00,0.03,8904,22.79
0.00,-0.00,1.00,0.00,0.04,0.05,8908,22.79
0.00,-0.00,1.00,0.00,0.07,0.05,8912,22.79
0.00,-0.00,1.00,0.00,0.07,0.01,8915,22.79
0.00,-0.00,1.00,0.02,0.07,-0.02,8920,22.83
0.00,0.00,1.00,0.03,0.03,-0.03,8924,22.83
0.00,-0.00,1.00,0.02,-0.00,-0.03,8927,22.83
0.00,-0.00,1.00,0.00,-0.05,0.01,8931,22.84
0.00,-0.00,1.00,0.00,-0.07,0.05,8935,22.84
0.00,-0.00,1.00,-0.01,-0.07,0.03,8938,22.84
0.00,-0.00,1.00,-0.01,-0.07,0.01,8942,22.81
0.00,0.00,1.00,0.00,-0.08,-0.03,8945,22.81
0.00,0.00,1.00,-0.01,-0.08,-0.05,8949,22.81
0.00,0.00,1.00,-0.06,-0.05,-0.02,8953,22.81
0.00,0.00,1.00,-0.09,-0.02,-0.00,8957,22.81
0.00,-0.00,1.00,-0.09,0.04,0.05,8961,22.81
0.00,-0.00,1.00,-0.07,0.04,0.03,8965,22.79
-0.00,-0.00,1.00,-0.03,0.06,-0.02,8968,22.79
-0.00,-0.00,1.00,0.00,0.06,-0.05,8972,22.79
0.00,-0.00,1.00,0.06,0.04,-0.06,8976,22.79
0.00,-0.00,1.00,0.08,0.03,-0.03,8979,22.79
0.00,0.00,1.00,0.06,0.01,0.05,8983,22.79
-0.00,0.00,1.00,0.06,0.01,0.08,8987,22.83
-0.00,0.00,1.00,0.05,0.01,0.08,8990,22.83
-0.00,0.00,1.00,0.05,0.01,0.05,8994,22.83
-0.00,0.00,1.00,0.03,0.01,0.03,8998,22.85
-0.00,0.00,1.00,0.03,0.01,0.03,9001,22.85
-0.00,-0.00,1.00,0.02,-0.00,0.06,9006,22.85
-0.00,-0.00,1.00,0.02,-0.03,0.06,9010,22.83
0.00,-0.00,1.00,0.00,-0.05,0.06,9013,22.83
0.00,-0.00,1.00,0.00,-0.05,0.05,9017,22.83
0.00,-0.00,1.00,-0.01,0.01,0.01,9021,22.85
0.00,-0.00,1.00,-0.01,0.03,0.03,9024,22.85
0.00,-0.00,1.00,0.00,0.03,0.03,9028,22.85
0.00,-0.00,1.00,0.00,0.01,0.01,9032,22.85
0.00,-0.00,1.00,0.00,-0.02,-0.00,9035,22.85
0.00,-0.00,1.00,-0.01,-0.08,-0.00,9039,22.81
0.00,0.00,1.00,-0.04,-0.10,0.03,9043,22.81
0.00,0.00,1.00,-0.07,-0.08,0.05,9047,22.81
0.00,0.00,1.00,-0.07,-0.07,0.05,9051,22.83
0.00,0.00,1.00,-0.06,-0.02,-0.00,9054,22.83
0.00,0.00,1.00,-0.04,-0.00,-0.02,9058,22.83
0.00,0.00,1.00,0.05,-0.02,-0.02,9062,22.84
