a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
-0.00,-0.00,1.00,0.00,0.04,0.01,8433,23.73
-0.00,-0.00,1.00,-0.04,0.04,0.03,8436,23.73
0.00,-0.00,1.00,-0.04,0.04,0.04,8440,23.78
0.00,-0.00,1.00,-0.03,0.02,0.01,8444,23.78
0.00,-0.00,1.00,-0.01,0.01,-0.00,8448,23.78
0.00,-0.00,1.00,-0.04,0.01,-0.02,8452,23.79
0.00,-0.00,1.00,-0.04,0.02,-0.00,8456,23.79
-0.00,-0.00,1.00,-0.06,0.05,-0.00,8459,23.79
-0.00,-0.00,1.00,-0.08,0.08,-0.00,8463,23.78
-0.00,-0.00,1.00,-0.06,0.08,-0.02,8467,23.78
0.00,-0.00,1.00,-0.03,0.08,-0.00,8470,23.78
0.00,-0.00,1.00,0.02,0.07,0.03,8474,23.77
0.00,-0.00,1.00,0.02,0.07,0.03,8478,23.77
0.00,-0.00,1.00,-0.01,0.04,-0.00,8481,23.77
0.00,-0.00,1.00,-0.04,0.02,-0.04,8485,23.74
-0.00,-0.00,1.00,-0.04,-0.01,-0.08,8489,23.74
-0.00,-0.00,1.00,-0.03,-0.01,-0.10,8493,23.74
-0.00,-0.00,1.00,0.05,-0.04,-0.10,8497,23.73
-0.00,-0.00,1.00,0.05,-0.04,-0.11,8501,23.73
-0.00,-0.00,1.00,0.05,-0.06,-0.11,8504,23.73
-0.00,-0.00,1.00,0.06,-0.07,-0.10,8508,23.73
-0.00,-0.00,1.00,0.11,-0.04,-0.07,8512,23.73
-0.00,0.00,1.00,0.11,-0.03,-0.05,8515,23.73
-0.00,0.00,1.00,0.05,-0.03,0.03,8519,23.71
-0.00,0.00,1.00,0.00,-0.04,0.06,8523,23.71
-0.00,0.00,1.00,-0.08,-0.06,0.03,8526,23.71
-0.00,0.00,1.00,-0.08,-0.06,-0.00,8530,23.79
-0.00,-0.00,1.00,-0.06,-0.06,-0.05,8535,23.79
-0.00,-0.00,1.00,-0.04,-0.04,-0.04,8538,23.79
-0.00,0.00,1.00,-0.01,0.02,0.04,8542,23.74
-0.00,0.00,1.00,0.00,0.05,0.07,8546,23.74
-0.00,0.00,1.00,-0.01,0.05,0.09,8549,23.74
-0.00,0.00,1.00,-0.03,0.02,0.10,8553,23.77
-0.00,0.00,1.00,-0.01,-0.01,0.09,8557,23.77
-0.00,0.00,1.00,-0.01,-0.04,0.04,8560,23.77
-0.00,0.00,1.00,0.00,-0.03,0.01,8564,23.76
-0.00,0.00,1.00,0.00,-0.01,-0.02,8568,23.76
-0.00,0.00,1.00,0.00,-0.01,-0.02,8571,23.76
-0.00,0.00,1.00,-0.01,-0.03,-0.05,8576,23.75
-0.00,0.00,1.00,0.00,-0.03,-0.05,8580,23.75
0.00,0.00,1.00,0.02,0.01,-0.05,8584,23.80
0.00,0.00,1.00,-0.01,0.07,-0.02,8587,23.80
0.00,0.00,1.00,-0.04,0.11,-0.00,8591,23.80
-0.00,0.00,1.00,-0.06,0.13,-0.00,8595,23.75
-0.00,0.00,1.00,-0.08,0.08,0.01,8598,23.75
